fullId,source,id,category,datasets,wnsynset,wnsynsetkey,otf,up,front,nfaces,nvertices,nmeshes,nmaterials,minPoint,maxPoint,aligned.minPoint,aligned.maxPoint,aligned.dims,index,variantIds,baseVariantId,isCornerPiece,setIds,componentIds
p5d.100,p5d,100,hanger,SUNCG,n03490884,hanger.n.02,0,,,1302,1050,2,2,"-0.207407, 0.0, -0.179758","0.207407, 1.3, 0.179758","-20.7407, 0.0, -17.9758","20.7407, 130.0, 17.9758","41.4814, 130.0, 35.9516",5,,,,,
p5d.101,p5d,101,"kitchen_cabinet,range_oven",SUNCG,n04330340,stove.n.01,0,,,2798,2757,9,6,"-0.300177, 0.0, -0.3","0.300177, 0.786986, 0.30000103","-30.0177, 0.0, -30.0001","30.0177, 78.6986, 30.000004","60.0354, 78.6986, 60.000103",6,,,,1,
p5d.102,p5d,102,"kitchen_appliance,refrigerator",SUNCG,n04070727,refrigerator.n.01,0,,,2022,1272,4,4,"-0.30204, 0.0, -0.317231","0.297761, 2.0, 0.36817402","-29.7761, 0.0, -36.817398","30.204002, 200.0, 31.723099","59.980103, 200.0, 68.5405",7,,,,,
p5d.104,p5d,104,desk,SUNCG,n03179701,desk.n.01,0,,,432,400,1,1,"-0.6, 0.0, -0.3","0.6, 0.75, 0.3","-60.000004, 0.0, -30.000002","60.000004, 75.0, 30.000002","120.00001, 75.0, 60.000004",8,,,,,
p5d.105,p5d,105,desk,SUNCG,n03179701,desk.n.01,0,,,528,556,1,1,"-0.55, 0.0, -0.275","0.55, 0.75, 0.275","-55.0, 0.0, -27.5","55.0, 75.0, 27.5","110.0, 75.0, 55.0",9,,,,,
p5d.106,p5d,106,"chair,office_chair",SUNCG,n04373704,swivel_chair.n.01,0,"0,1,0","0,0,-1",3980,2556,4,4,"-0.298098, 0.0, -0.26869398","0.298098, 1.0373, 0.281699","-29.8098, 0.0, -26.8694","29.8098, 103.729996, 28.169899","59.6196, 103.729996, 55.0393",10,,,,,
p5d.107,p5d,107,desk,SUNCG,n03179701,desk.n.01,0,,,1812,1721,1,1,"-0.8, 0.0, -0.33","0.8, 0.75, 0.33","-80.0, 0.0, -33.0","80.0, 75.0, 33.0","160.0, 75.0, 66.0",11,,,,,
p5d.108,p5d,108,desk,SUNCG,n03179701,desk.n.01,0,,,1036,884,2,2,"-0.7, 0.0, -0.33","0.7, 0.75, 0.33","-70.0, 0.0, -33.0","70.0, 75.0, 33.0","140.0, 75.0, 66.0",12,,,,,
p5d.109,p5d,109,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,592,580,1,1,"-0.54, -2.9802322E-8, -0.375","0.54, 0.45, 0.375","-54.000004, 0.0, -37.5","54.000004, 45.0, 37.5","108.00001, 45.0, 75.0",13,,,,,
p5d.110,p5d,110,television,SUNCG,n04405907,television_receiver.n.01,45,,,472,769,3,3,"-0.25, 0.0023195744, -0.0495171","0.25, 0.509975, 0.05","-25.0, 0.23195648, -5.0","25.0, 50.9975, 4.9517097","50.0, 50.765545, 9.95171",14,,,,,
p5d.111,p5d,111,television,SUNCG,n04405907,television_receiver.n.01,140,,,342,314,3,3,"-0.38008, 0.0, -0.0220268","0.38008, 0.46051, 0.024999999","-38.008003, 0.0, -2.5","38.008003, 46.051, 2.2026796","76.01601, 46.051, 4.7026796",15,,,,,
p5d.112,p5d,112,television,SUNCG,n04405907,television_receiver.n.01,45,,,456,454,3,3,"-0.495, 0.0, -0.049850896","0.495, 0.703872, 0.0498375","-49.5, 0.0, -4.98375","49.5, 70.3872, 4.98509","99.0, 70.3872, 9.96884",16,,,,,
p5d.113,p5d,113,television,SUNCG,n04405907,television_receiver.n.01,45,,,418,376,3,3,"-0.540019, 0.0, -0.0513535","0.539936, 0.715243, 0.048646495","-53.9936, 0.0, -4.86465","54.0019, 71.5243, 5.13535","107.9955, 71.5243, 10.0",17,,,,,
p5d.114,p5d,114,television,SUNCG,n04405907,television_receiver.n.01,45,"0,1,0","0,0,-1",912,836,3,3,"-0.64, 0.0, -0.049949497","0.64, 0.773516, 0.0500004","-64.0, 0.0, -4.9949503","64.0, 77.3516, 5.00004","128.0, 77.3516, 9.99499",18,,,,,
p5d.115,p5d,115,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,826,966,1,1,"-0.950012, 0.0, -0.225","0.950012, 0.43, 0.225","-95.001205, 0.0, -22.5","95.001205, 43.0, 22.5","190.00241, 43.0, 45.0",19,,,,,
p5d.116,p5d,116,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,1224,1065,3,3,"-0.90174603, -1.54078E-5, -0.2","0.901479, 0.4, 0.2","-90.1479, -0.0015411377, -20.0","90.17461, 40.0, 20.0","180.32251, 40.00154, 40.0",20,,,,,
p5d.117,p5d,117,tv_stand,SUNCG,n03290653,entertainment_center.n.01,0,,,1524,1384,2,2,"-0.725, 0.0, -0.245","0.725, 0.4, 0.246488","-72.5, 0.0, -24.648796","72.5, 40.0, 24.5","145.0, 40.0, 49.148796",21,,,,,
p5d.118,p5d,118,hanger,SUNCG,n03490884,hanger.n.02,0,,,1896,1784,2,2,"-0.529959, 0.0, -0.159937","0.529959, 1.64988, 0.159937","-52.995903, 0.0, -15.993699","52.995903, 164.988, 15.993699","105.991806, 164.988, 31.987398",22,,,,,
p5d.119,p5d,119,"table,coffee_table",SUNCG,n03063968,coffee_table.n.01,0,,,1024,1140,1,1,"-0.465, 0.0, -0.465","0.465, 0.560128, 0.465","-46.5, -3.8146973E-6, -46.5","46.5, 56.0128, 46.5","93.0, 56.012802, 93.0",23,,,,,
p5d.120,p5d,120,"computer,laptop",SUNCG,n03642806,laptop.n.01,75,,,1719,2058,4,4,"-0.16, 0.0, -0.11597301","0.16, 0.24006, 0.11","-16.0, 0.0, -11.0","16.0, 24.006, 11.5973015","32.0, 24.006, 22.597301",24,,,,,
p5d.121,p5d,121,wardrobe_cabinet,SUNCG,n02933112,cabinet.n.01,0,,,2004,1636,3,3,"-1.005, 3.0994415E-6, -0.22","1.005, 2.21, 0.220027","-100.5, 3.0517578E-4, -22.0027","100.5, 221.0, 22.0","201.0, 220.9997, 44.0027",25,,,,,
p5d.122,p5d,122,door,SUNCG,n03221720,door.n.01,0,,,1588,1302,3,3,"-0.4, 0.0, -0.580001","0.4, 2.12, 0.06999999","-40.0, 0.0, -7.0","40.0, 211.99998, 58.0001","80.0, 211.99998, 65.0001",26,"122,122_0",,,,
p5d.122_0,p5d,122_0,door,SUNCG,n03221720,door.n.01,0,,,1582,1290,3,3,"-0.4, 0.0, -0.139991","0.4, 2.12, 0.07000001","-40.0, 0.0, -7.0","40.0, 211.99998, 13.9991","80.0, 211.99998, 20.9991",26,"122,122_0",122,,,
p5d.122_2,p5d,122_2,door,SUNCG,n03221720,door.n.01,0,,,140,194,1,1,"-0.4, 0.0, -0.0700001","0.4, 2.12, 0.07000001","-40.0, 0.0, -7.0","40.0, 211.99998, 7.0000095","80.0, 211.99998, 14.00001",26,"122,122_0,122_2",122,,,
p5d.123,p5d,123,hanger,SUNCG,n03490884,hanger.n.02,180,,,3748,1966,1,1,"-0.28429, 0.0017597079, -0.0588182","0.28429, 0.299451, 0.0592651","-28.428999, 0.17597198, -5.92651","28.428999, 29.945099, 5.8818197","56.857998, 29.769127, 11.80833",27,,,,,
